"Date" "DateID" "Option" "S" "K" "r" "q" "tau" "t" "sigma" "C" "Day" "MeanPrice" "rv5" "rsv" "medrv" "bv" "rk_parzen" "naive"
"5736" "2011-08-29" 20110829 30 1210.08 1339.67 0.00231578908163265 0.02050778 0.0873015873015873 0.162698412698413 0.141001666666667 0.112915729526138 41 45.5380082816835 0.265399888271381 0.0591210945654895 0.0995410759621517 0.110577631381991 0.239631408256413 0.154190475443593
"5739" "2011-08-30" 20110830 30 1212.92 1339.67 0.00227628204081633 0.02055474 0.0833333333333333 0.166666666666667 0.140741833333333 0.108983350514892 42 45.5380082816835 0.234193382892887 0.181639324515217 0.172325677498086 0.215604565176816 0.194712883991445 0.152717837145737
"5742" "2011-08-31" 20110831 30 1218.89 1339.67 0.00224458571428571 0.02049258 0.0793650793650794 0.170634920634921 0.140482 0.127834523426365 43 45.5380082816835 0.220763825732564 0.135029837650752 0.164895915227516 0.207342739765505 0.221284704249717 0.152827610004457
"5745" "2011-09-01" 20110901 30 1204.42 1339.67 0.00224751333333333 0.02053169 0.0753968253968254 0.174603174603175 0.140222166666667 0.0371994419358508 44 45.5380082816835 0.233120763323393 0.151228650088846 0.150083769894372 0.192786879316658 0.14054282496635 0.152971932029625
"5748" "2011-09-02" 20110902 30 1173.97 1339.67 0.00225098 0.0205468 0.0714285714285714 0.178571428571429 0.139962333333333 0.00211573353799535 45 45.5380082816835 0.342148998842503 0.323636607174438 0.127310815074823 0.224866242606374 0.269612969628203 0.154566052887617
"5751" "2011-09-06" 20110906 30 1165.24 1339.67 0.00267351035714286 0.02059258 0.0674603174603175 0.182539682539683 0.1397025 0.000552561759253278 46 45.5380082816835 0.450019958780517 0.422966392418274 0.16742838875316 0.215368143321747 0.364067429928193 0.154674440773017
"5754" "2011-09-07" 20110907 30 1198.62 1339.67 0.00267310428571429 0.02059202 0.0634920634920635 0.186507936507937 0.139442666666667 0.0082807365914912 47 45.5380082816835 0.226525460530658 0.0678917272179682 0.0878221093374587 0.117518659270928 0.232700497468725 0.157420508016274
"5757" "2011-09-08" 20110908 30 1185.9 1339.67 0.00266032892857143 0.02061871 0.0595238095238095 0.19047619047619 0.139182833333333 0.00152953837014452 48 45.5380082816835 0.218427866862688 0.171390806024739 0.163649210567815 0.214599510193656 0.161026382943577 0.157451515976912
"5760" "2011-09-09" 20110909 30 1154.23 1339.67 0.00281558071428571 0.0206433 0.0555555555555556 0.194444444444444 0.138923 1.90063694142772e-05 49 45.5380082816835 0.310757772416744 0.270163711985982 0.210495911756251 0.25236942525435 0.297404975074086 0.159054720243959
"5763" "2011-09-12" 20110912 30 1162.27 1339.67 0.0029794425 0.02061054 0.0515873015873016 0.198412698412698 0.138663166666667 2.24913354888992e-05 50 45.5380082816835 0.274302678046035 0.19826890935912 0.185545241813278 0.244182862008913 0.286738543079258 0.159270328759982
"5766" "2011-09-13" 20110913 30 1172.87 1339.67 0.00303686571428571 0.0206439 0.0476190476190476 0.202380952380952 0.138403333333333 3.68362577800284e-05 51 45.5380082816835 0.204125403454596 0.140664782869121 0.155136126386855 0.194320309156664 0.159599204565112 0.159005811314998
"5769" "2011-09-14" 20110914 30 1188.68 1339.67 0.00232619 0.02068573 0.0436507936507936 0.206349206349206 0.1381435 0.000120297626847021 52 45.5380082816835 0.240099519691718 0.171769150341863 0.154624048886281 0.220551957786658 0.236128895377626 0.158807808239977
"5772" "2011-09-15" 20110915 30 1209.11 1339.67 0.00233054 0.02070211 0.0396825396825397 0.21031746031746 0.137883666666667 0.000705423944788314 53 45.5380082816835 0.203958626026038 0.102744904876252 0.116571997317151 0.165416801431963 0.148757450654986 0.159767700505035
"5775" "2011-09-16" 20110916 30 1216.01 1339.67 0.00233634 0.02071183 0.0357142857142857 0.214285714285714 0.137623833333333 0.000700862926151388 54 45.5380082816835 0.173727373431515 0.110624105704603 0.129259604501885 0.166604132286166 0.163065125650886 0.159868129083147
"5778" "2011-09-19" 20110919 30 1204.09 1339.67 0.00233902 0.02067118 0.0317460317460317 0.218253968253968 0.137364 3.79364024761754e-05 55 45.5380082816835 0.305062356355344 0.274603269655089 0.129797619454413 0.180948819301746 0.315408361454765 0.160004850690271
"5781" "2011-09-20" 20110920 30 1202.09 1339.67 0.002350184 0.02069992 0.0277777777777778 0.222222222222222 0.137104166666667 5.3383565785871e-06 56 45.5380082816835 0.169144174829002 0.117442578128164 0.121462281030676 0.169183870768957 0.221147203690376 0.159350595682129
"5784" "2011-09-21" 20110921 30 1166.76 1339.67 0.00236730285714286 0.02068101 0.0238095238095238 0.226190476190476 0.136844333333333 1.00045721625595e-10 57 45.5380082816835 0.238719265461291 0.210013330030918 0.140571641146143 0.218125387401868 0.319529500701151 0.161977260604318
"5787" "2011-09-22" 20110922 30 1129.56 1339.67 0.00237783923076923 0.02070975 0.0198412698412698 0.23015873015873 0.1365845 8.23377310186177e-19 58 45.5380082816835 0.530632410535489 0.467501373920639 0.269314070486954 0.367425218577836 0.410479133000555 0.164747902176539
"5790" "2011-09-23" 20110923 30 1136.43 1339.67 0.0023908 0.02078567 0.0158730158730159 0.234126984126984 0.136324666666667 8.93746974842458e-22 59 45.5380082816835 0.264414239945762 0.169311272184691 0.25830402661606 0.268694645778703 0.159681840628926 0.164627012050671
"5793" "2011-09-26" 20110926 30 1162.95 1339.67 0.00240714777777778 0.02080255 0.0119047619047619 0.238095238095238 0.136064833333333 1.31190979496301e-21 60 45.5380082816835 0.284108728535886 0.161261818721983 0.174142298569864 0.269377121612444 0.28705591455549 0.166228358971451
